Product Name,Product Price,Product Camera,Product RAM,Product ROM,Product Display,Product Processor,Product Color,Product Rating
realme 15x 5G,17999,50MP Rear Camera | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Marine Blue,4.3
realme P3 5G,15999,50MP + 2MP | 16MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Nebula Pink,4.4
realme 15 Pro 5G,31999,50MP + 50MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Flowing Silver,4.3
realme P4 5G,18999,50MP + 8MP | 16MP Front Camera,8 GB RAM,128,17.2 cm (6.77 inch) Display,Mediatek Dimensity 7400,Forge Red,4.4
realme 15x 5G,16999,50MP Rear Camera | 50MP Front Camera,6 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Aqua Blue,4.4
realme P3 Lite 5G,11499,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,Dimensity 6300,Lily White,4.4
realme 14 Pro+ 5G,29999,50MP + 50MP + 8MP | 32MP Front Camera,12 GB RAM,512,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Suede Grey,4.4
realme 15 5G,25999,50MP + 8MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Mediatek Dimensity 7300+ 5G,Velvet Green,4.4
realme 15 Pro 5G,35999,50MP + 50MP | 50MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Velvet Green,4.3
realme P4 Pro 5G,25999,50MP + 8MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Dark Oak Wood,4.4
realme Narzo 80x 5G,11660,50MP Rear Camera,6 GB RAM,128,17.07 cm (6.72 inch) Display,,Sunlit Gold,4.2
realme P4 5G,17999,50MP + 8MP | 16MP Front Camera,6 GB RAM,128,17.2 cm (6.77 inch) Display,Mediatek Dimensity 7400,Forge Red,4.4
realme P3x 5G,12999,50MP Rear Camera | 8MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD Display,Dimensity 6400,Stellar Pink,4.4
realme P3 Pro 5G,19999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Nebula Glow,4.4
realme Narzo 80x 5G,12878,50MP Rear Camera,8 GB RAM,128,17.07 cm (6.72 inch) Display,,Deep Ocean,4.2
realme P3 Pro 5G,19999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Galaxy Purple,4.4
realme P4 Pro 5G,25999,50MP + 8MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Midnight Ivy,4.4
realme P3 Ultra 5G,23999,50MP + 8MP | 16MP Front Camera,12 GB RAM,256,17.35 cm (6.83 inch) Display,Dimensity 8350 Ultra,Orion Red,4.5
realme 14 Pro+ 5G,26999,50MP + 50MP + 8MP | 32MP Front Camera,12 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Suede Grey,4.4
realme P4 Pro 5G,23999,50MP + 8MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Midnight Ivy,4.4
realme P3 5G,16999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Space Silver,4.4
realme 15 5G,25999,50MP + 8MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Mediatek Dimensity 7300+ 5G,Silk Pink,4.4
realme P4 5G,18999,50MP + 8MP | 16MP Front Camera,8 GB RAM,128,17.2 cm (6.77 inch) Display,Mediatek Dimensity 7400,Engine Blue,4.4
realme Narzo 80x 5G,12600,50MP Rear Camera,8 GB RAM,128,17.07 cm (6.72 inch) Display,,Sunlit Gold,4.2
realme P4 5G,18999,50MP + 8MP | 16MP Front Camera,8 GB RAM,128,17.2 cm (6.77 inch) Display,Mediatek Dimensity 7400,Steel Grey,4.4
realme P3x 5G,12499,50MP Rear Camera | 8MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD Display,Dimensity 6400,Lunar Silver,4.4
realme Narzo 80x 5G,11837,50MP Rear Camera,6 GB RAM,128,17.07 cm (6.72 inch) Display,,Deep Ocean,4.2
realme P3 Pro 5G,19999,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Saturn Brown,4.4
realme 14 Pro+ 5G,28999,50MP + 50MP + 8MP | 32MP Front Camera,8 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Pearl White,4.4
realme P3 Lite 5G,11499,32MP Rear Camera | 8MP Front Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,Dimensity 6300,Midnight Lily,4.4
realme 15T 5G,24999,50MP + 2MP | 50MP Front Camera,12 GB RAM,256,16.69 cm (6.57 inch) Full HD Display,MediaTek Dimensity 6400 MAX,Flowing Silver,4.2
realme 14 Pro+ 5G,29999,50MP + 50MP + 8MP | 32MP Front Camera,12 GB RAM,512,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Pearl White,4.4
realme Narzo N65 5G,11599,50MP Rear Camera,6 GB RAM,128,16.94 cm (6.67 inch) Display,,Ambr Gold,4.3
realme P3 Pro 5G,18999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Nebula Glow,4.4
realme P4 Pro 5G,25999,50MP + 8MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Dark Oak Wood,4.4
realme 13 5G,15699,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Dimensity 6300,Dark Purple,4.3
realme P3 5G,16999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Comet Grey,4.4
realme P3 5G,18499,50MP + 2MP | 16MP Front Camera,8 GB RAM,256,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Space Silver,4.4
realme C73 5G,9988,32MP Rear Camera | 8MP Front Camera,4 GB RAM,64,16.94 cm (6.67 inch) HD+ Display,Dimensity 6300,Onyx Black,4.2
realme 15 Pro 5G,31999,50MP + 50MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Velvet Green,4.3
realme P3 Lite 5G,10499,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,Dimensity 6300,Lily White,4.4
realme P3 Pro 5G,23999,50MP + 2MP | 16MP Front Camera,12 GB RAM,256,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Nebula Glow,4.4
realme P3 Pro 5G,18999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.35 cm (6.83 inch) Display,7s Gen 3 Mobile Platform,Saturn Brown,4.4
realme 15 Pro 5G,38999,50MP + 50MP | 50MP Front Camera,12 GB RAM,512,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Flowing Silver,4.3
realme 15 Pro 5G,35999,50MP + 50MP | 50MP Front Camera,12 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4,Silk Purple,4.3
realme 15x 5G,17999,50MP Rear Camera | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Aqua Blue,4.3
realme P3 Ultra 5G,23999,50MP + 8MP | 16MP Front Camera,12 GB RAM,256,17.35 cm (6.83 inch) Display,Dimensity 8350 Ultra,Orion Red,4.5
realme 15x 5G,17999,50MP Rear Camera | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Dimensity 6300 6nm Octa-core chipset,Maroon Red,4.3
realme P4 Pro 5G,23999,50MP + 8MP | 50MP Front Camera,8 GB RAM,128,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Midnight Ivy,4.4
realme P4 Pro 5G,25999,50MP + 8MP | 50MP Front Camera,8 GB RAM,256,17.27 cm (6.8 inch) Display,Snapdragon 7 Gen 4 Mobile,Midnight Ivy,4.4
realme P3 5G,16999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Nebula Pink,4.4
realme P3 Lite 5G,10499,32MP Rear Camera | 8MP Front Camera,4 GB RAM,128,16.94 cm (6.67 inch) Display,Dimensity 6300,Lily White,4.4
realme P3 5G,16999,50MP + 2MP | 16MP Front Camera,8 GB RAM,128,16.94 cm (6.67 inch) Full HD+ Display,6 Gen 4,Comet Grey,4.4
